City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Touros,BR,-5.1989,-35.4608,26.5,74,33,5.13,scattered clouds
79,Jamestown,US,42.097,-79.2353,-2.2,50,0,2.06,clear sky
80,Raymondville,US,26.4815,-97.7831,23.66,60,0,2.19,clear sky
81,Bulungu,CD,-4.55,18.6,21.41,90,84,0.34,light rain
82,Yako,BF,12.9667,-2.2667,20.48,16,46,4.08,scattered clouds
83,Thompson,CA,55.7435,-97.8558,-16.91,78,100,3.09,overcast clouds
84,Dzhubga,RU,44.3211,38.7039,5.98,76,47,5.54,scattered clouds
85,Hoopstad,ZA,-27.8327,25.9083,18.16,88,100,2.21,overcast clouds
86,Avarua,CK,-21.2078,-159.775,24.03,94,40,3.09,scattered clouds
87,Harper,LR,4.375,-7.7169,25.95,84,90,2.03,overcast clouds
88,Hamilton,US,39.1834,-84.5333,1.72,70,0,0.0,clear sky
89,Hithadhoo,MV,-0.6,73.0833,27.97,73,22,4.94,few clouds
90,Cabedelo,BR,-6.9811,-34.8339,26.37,77,25,4.34,scattered clouds
91,Kaitangata,NZ,-46.2817,169.8464,21.63,74,100,3.2,overcast clouds
92,Valparaiso,CL,-33.0393,-71.6273,19.71,71,20,3.6,few clouds
93,Bend,US,44.0582,-121.3153,3.92,51,0,1.34,clear sky
94,Chor,PK,25.5167,69.7667,19.23,49,0,2.87,clear sky
95,Naze,JP,28.3667,129.4833,12.51,56,21,2.58,few clouds
96,Georgetown,MY,5.4112,100.3354,26.61,87,20,0.89,few clouds
97,Taber,CA,49.8167,-112.1518,-10.07,67,100,8.75,overcast clouds
98,Abeche,TD,13.8292,20.8324,14.44,21,0,4.84,clear sky
99,Linxia,CN,35.6003,103.2064,-9.19,82,100,1.07,overcast clouds
100,Coari,BR,-4.085,-63.1414,23.34,97,100,1.33,overcast clouds
101,Geraldton,AU,-28.7667,114.6,23.4,53,6,10.29,clear sky
102,Opelousas,US,30.5335,-92.0815,17.94,59,40,4.63,scattered clouds
103,Onega,RU,63.9061,38.1404,-11.83,94,100,3.11,overcast clouds
104,Barnstaple,GB,51.0802,-4.0581,9.56,86,100,8.85,overcast clouds
105,Sinnamary,GF,5.3833,-52.95,24.78,87,100,4.31,overcast clouds
106,Karratha,AU,-20.7377,116.8463,31.77,58,100,0.98,overcast clouds
107,Dallas,US,32.7668,-96.7836,17.12,75,75,0.89,broken clouds
108,Katsuura,JP,35.1333,140.3,8.99,43,94,2.42,overcast clouds
109,Santa Cruz,BO,-17.8,-63.1667,21.7,94,75,5.14,broken clouds
110,Constitucion,CL,-35.3333,-72.4167,14.57,76,0,4.14,clear sky
111,Tuatapere,NZ,-46.1333,167.6833,24.34,44,100,0.18,overcast clouds
112,Mount Isa,AU,-20.7333,139.5,29.87,66,40,4.12,scattered clouds
113,Hambantota,LK,6.1241,81.1185,23.19,100,20,2.06,few clouds
114,Catamarca,AR,-28.4696,-65.7852,24.25,52,22,5.14,few clouds
115,Kazerun,IR,29.6195,51.6541,13.18,65,100,1.45,overcast clouds
116,Paracuru,BR,-3.41,-39.0306,28.01,77,57,4.49,broken clouds
117,Morros,BR,-9.4467,-46.3003,25.28,67,100,1.02,overcast clouds
118,Dudinka,RU,69.4058,86.1778,-14.1,94,96,4.37,overcast clouds
119,Deputatskiy,RU,69.3,139.9,-31.44,100,100,1.5,overcast clouds
120,Kaura Namoda,NG,12.5898,6.5779,15.67,14,93,5.94,overcast clouds
121,Nikolskoye,RU,59.7035,30.7861,-4.06,96,100,2.24,snow
122,Bafra,TR,41.5678,35.9069,1.88,82,10,2.73,clear sky
123,Hualmay,PE,-11.0964,-77.6139,21.64,82,18,3.69,few clouds
124,Los Llanos De Aridane,ES,28.6585,-17.9182,13.86,52,0,4.02,clear sky
125,Alta Floresta,BR,-9.8756,-56.0861,21.56,97,100,0.96,overcast clouds
126,Luau,AO,-10.7073,22.2247,17.5,99,100,2.34,light rain
127,Trairi,BR,-3.2778,-39.2689,25.63,78,29,3.94,scattered clouds
