City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
125,Alta Floresta,BR,-9.8756,-56.0861,21.56,97,100,0.96,overcast clouds,Floresta Amazonica Hotel
126,Luau,AO,-10.7073,22.2247,17.5,99,100,2.34,light rain,Casa- Bernardo Cândido
127,Trairi,BR,-3.2778,-39.2689,25.63,78,29,3.94,scattered clouds,janelas do mar
128,Sao Filipe,CV,14.8961,-24.4956,24.2,65,100,4.69,overcast clouds,Hotel Xaguate
129,Port Lincoln,AU,-34.7333,135.8667,18.63,56,26,9.23,scattered clouds,Port Lincoln Hotel
130,Itarema,BR,-2.9248,-39.9167,26.01,77,24,5.01,few clouds,"Sea Lounge! Bar, Club & Restaurant"
132,Koumac,NC,-20.5667,164.2833,29.26,63,100,4.05,overcast clouds,Le Monitel
133,Cayenne,GF,4.9333,-52.3333,27.27,84,75,2.24,broken clouds,Hôtel Le Dronmi
135,Meulaboh,ID,4.1363,96.1285,25.22,85,8,1.71,clear sky,Kost Pria
138,Alice Springs,AU,-23.7,133.8833,26.75,78,100,8.75,overcast clouds,Desert Palms Alice Springs
139,Itoman,JP,26.1247,127.6694,17.43,61,75,3.6,broken clouds,Southern Beach Hotel & Resort Okinawa
140,Butaritari,KI,3.0707,172.7902,27.56,78,100,5.72,light rain,Isles Sunset Lodge
141,Richards Bay,ZA,-28.783,32.0377,23.24,82,16,4.31,few clouds,BON Hotel Waterfront Richards Bay
151,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,24.53,79,100,1.39,overcast clouds,Hotel GSA
152,Carnarvon,AU,-24.8667,113.6333,28.04,65,3,7.2,clear sky,Hospitality Carnarvon
158,Mahina,PF,-17.5065,-149.489,29.87,58,20,2.57,few clouds,Guest Beach Bungalow Tahiti
159,Bandarbeyla,SO,9.4942,50.8122,24.81,77,100,6.55,overcast clouds,JABIR HOTEL
164,San Cristobal,VE,7.7669,-72.225,23.1,83,95,1.15,overcast clouds,Posada Villaven C.A.
165,Dingle,PH,10.9995,122.6711,26.53,81,100,5.16,overcast clouds,SEGAYA PROPERTY
171,Honiara,SB,-9.4333,159.95,29.7,75,57,1.88,broken clouds,Heritage Park Hotel
184,Wajir,KE,1.7471,40.0573,23.88,73,100,6.67,overcast clouds,Al-bustan Hotel And Restaurant.
188,Guerrero Negro,MX,27.9769,-114.0611,17.5,56,9,4.65,clear sky,"Casa Laguna, Bed & Breakfast"
195,Atuona,PF,-9.8,-139.0333,25.82,77,12,8.17,few clouds,Villa Enata
196,Oistins,BB,13.0667,-59.5333,26.05,78,40,4.12,scattered clouds,Butterfly Beach Hotel
200,Port Hedland,AU,-20.3167,118.5667,30.03,79,100,0.51,overcast clouds,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
201,Kununurra,AU,-15.7667,128.7333,29.99,70,75,6.17,broken clouds,Hotel Kununurra
205,Bambous Virieux,MU,-20.3428,57.7575,26.23,78,75,8.23,broken clouds,Casa Tia Villa
207,Chuy,UY,-33.6971,-53.4616,16.72,65,1,3.69,clear sky,Nuevo Hotel Plaza
211,Esperance,AU,-33.8667,121.9,17.91,55,60,7.48,broken clouds,Hospitality Esperance
212,Kavaratti,IN,10.5669,72.642,26.91,72,5,4.44,clear sky,Hotels in Lakshadweep Islands
214,Ancud,CL,-41.8697,-73.8203,15.74,82,58,3.3,broken clouds,Hotel Arena Gruesa
215,Puerto Ayora,EC,-0.7393,-90.3518,23.64,94,84,2.45,broken clouds,Finch Bay Galapagos Hotel
